SalesOrderNumber;SalesOrderLineNumber;ProductId;CustomerUsername;OrderDate;DueDate;ShipDate;SalesTerritoryRegion;SalesTerritoryCountry;SalesTerritoryContinent;OrderQuantity;SalesAmount;TaxAmt;Freight;Currency;AverageRate
SO43715;1;BK-R93R-56;warren42;2011-01-02;2011-01-14;2011-01-09;Australia;Australia;Pacific;1;5606.08;448.49;89,4568;AUD;0,638284291823578
SO43716;1;BK-R93R-44;jonathon8;2011-01-02;2011-01-14;2011-01-09;Australia;Australia;Pacific;1;5606.08;448.49;89,4568;AUD;0,638284291823578
SO43717;1;BK-R50B-62;alexandra20;2011-01-02;2011-01-14;2011-01-09;Australia;Australia;Pacific;1;1095.28;87.62;17,4775;AUD;0,638284291823578
SO43724;1;BK-R93R-44;misty23;2011-01-04;2011-01-16;2011-01-11;Australia;Australia;Pacific;1;5598.20;447.86;89,4568;AUD;0,639181847235539
SO43727;1;BK-R93R-44;logan18;2011-01-05;2011-01-17;2011-01-12;Australia;Australia;Pacific;1;5610.37;448.83;89,4568;AUD;0,637795777791951
SO43732;1;BK-M82B-44;alejandro45;2011-01-06;2011-01-18;2011-01-13;Australia;Australia;Pacific;1;5307.51;424.60;84,3748;AUD;0,63588960956378
SO43731;1;BK-R93R-56;rosa19;2011-01-06;2011-01-18;2011-01-13;Australia;Australia;Pacific;1;5627.19;450.17;89,4568;AUD;0,63588960956378
SO43736;1;BK-M82S-44;ruben35;2011-01-07;2011-01-19;2011-01-14;Australia;Australia;Pacific;1;5375.38;430.03;84,9998;AUD;0,632511068943706
SO43735;1;BK-R93R-62;casey13;2011-01-07;2011-01-19;2011-01-14;Australia;Australia;Pacific;1;5657.24;452.58;89,4568;AUD;0,632511068943706
SO43740;1;BK-R93R-48;cory5;2011-01-08;2011-01-20;2011-01-15;Australia;Australia;Pacific;1;5642.22;451.38;89,4568;AUD;0,634195839675292
SO43743;1;BK-M82S-48;marco14;2011-01-09;2011-01-21;2011-01-16;Australia;Australia;Pacific;1;5338.32;427.07;84,9998;AUD;0,636902108145978
SO43744;1;BK-R93R-52;haley13;2011-01-09;2011-01-21;2011-01-16;Australia;Australia;Pacific;1;5618.24;449.46;89,4568;AUD;0,636902108145978
SO43745;1;BK-R93R-44;manuel14;2011-01-10;2011-01-22;2011-01-17;Australia;Australia;Pacific;1;5612.87;449.03;89,4568;AUD;0,637511156445238
SO43746;1;BK-R93R-48;kelvin35;2011-01-10;2011-01-22;2011-01-17;Australia;Australia;Pacific;1;5612.87;449.03;89,4568;AUD;0,637511156445238
SO43753;1;BK-R93R-62;tabitha5;2011-01-11;2011-01-23;2011-01-18;Australia;Australia;Pacific;1;5642.57;451.41;89,4568;AUD;0,634155621789587
SO43757;1;BK-M82B-44;shannon1;2011-01-12;2011-01-24;2011-01-19;Australia;Australia;Pacific;1;5301.43;424.11;84,3748;AUD;0,636618283677107
SO43760;1;BK-R93R-56;tiffany15;2011-01-13;2011-01-25;2011-01-20;Australia;Australia;Pacific;1;5632.55;450.60;89,4568;AUD;0,635283654151579
SO43761;1;BK-R93R-62;brenda19;2011-01-13;2011-01-25;2011-01-20;Australia;Australia;Pacific;1;5632.55;450.60;89,4568;AUD;0,635283654151579
SO43765;1;BK-M82S-44;jacquelyn20;2011-01-14;2011-01-26;2011-01-21;Australia;Australia;Pacific;1;5340.02;427.20;84,9998;AUD;0,636699350566662
SO43763;1;BK-R93R-52;martha16;2011-01-14;2011-01-26;2011-01-21;Australia;Australia;Pacific;1;5620.03;449.60;89,4568;AUD;0,636699350566662
SO43764;1;BK-R93R-62;ebony31;2011-01-14;2011-01-26;2011-01-21;Australia;Australia;Pacific;1;5620.03;449.60;89,4568;AUD;0,636699350566662
SO43767;1;BK-M82B-44;eugene10;2011-01-15;2011-01-27;2011-01-22;Australia;Australia;Pacific;1;5329.78;426.38;84,3748;AUD;0,63323201621074
SO43766;1;BK-R93R-52;krystal6;2011-01-15;2011-01-27;2011-01-22;Australia;Australia;Pacific;1;5650.80;452.06;89,4568;AUD;0,63323201621074
SO43775;1;BK-M82S-48;jessie16;2011-01-16;2011-01-28;2011-01-23;Australia;Australia;Pacific;1;5379.80;430.38;84,9998;AUD;0,631991404916893
SO43774;1;BK-R93R-52;roy12;2011-01-16;2011-01-28;2011-01-23;Australia;Australia;Pacific;1;5661.90;452.95;89,4568;AUD;0,631991404916893
SO43772;1;BK-R93R-48;damien4;2011-01-16;2011-01-28;2011-01-23;Australia;Australia;Pacific;1;5661.90;452.95;89,4568;AUD;0,631991404916893
SO43773;1;BK-R93R-56;arthur22;2011-01-16;2011-01-28;2011-01-23;Australia;Australia;Pacific;1;5661.90;452.95;89,4568;AUD;0,631991404916893
SO43778;1;BK-M82S-42;clarence32;2011-01-17;2011-01-29;2011-01-24;Australia;Australia;Pacific;1;5380.48;430.44;84,9998;AUD;0,631911532385466
SO43777;1;BK-R93R-44;troy6;2011-01-17;2011-01-29;2011-01-24;Australia;Australia;Pacific;1;5662.61;453.01;89,4568;AUD;0,631911532385466
SO43779;1;BK-R50R-44;warren17;2011-01-17;2011-01-29;2011-01-24;Australia;Australia;Pacific;1;1106.32;88.51;17,4775;AUD;0,631911532385466
SO43781;1;BK-R93R-48;monique14;2011-01-18;2011-01-30;2011-01-25;Australia;Australia;Pacific;1;5656.53;452.52;89,4568;AUD;0,632591093117409
SO43782;1;BK-R93R-48;melvin0;2011-01-18;2011-01-30;2011-01-25;Australia;Australia;Pacific;1;5656.53;452.52;89,4568;AUD;0,632591093117409
SO43783;1;BK-R93R-48;cameron33;2011-01-18;2011-01-30;2011-01-25;Australia;Australia;Pacific;1;5656.53;452.52;89,4568;AUD;0,632591093117409
SO43793;1;BK-M82S-38;jon24;2011-01-19;2011-01-31;2011-01-26;Australia;Australia;Pacific;1;5371.98;429.76;84,9998;AUD;0,632911392405063
SO43794;1;BK-M82S-48;jimmy9;2011-01-19;2011-01-31;2011-01-26;Australia;Australia;Pacific;1;5371.98;429.76;84,9998;AUD;0,632911392405063
SO43791;1;BK-R93R-56;dustin8;2011-01-19;2011-01-31;2011-01-26;Australia;Australia;Pacific;1;5653.67;452.29;89,4568;AUD;0,632911392405063
SO43792;1;BK-R93R-48;andres5;2011-01-19;2011-01-31;2011-01-26;Australia;Australia;Pacific;1;5653.67;452.29;89,4568;AUD;0,632911392405063
SO43797;1;BK-R93R-48;francis15;2011-01-20;2011-02-01;2011-01-27;Australia;Australia;Pacific;1;5630.77;450.46;89,4568;AUD;0,635485510930351
SO43798;1;BK-R93R-62;tonya0;2011-01-20;2011-02-01;2011-01-27;Australia;Australia;Pacific;1;5630.77;450.46;89,4568;AUD;0,635485510930351
SO43799;1;BK-R93R-48;danny1;2011-01-20;2011-02-01;2011-01-27;Australia;Australia;Pacific;1;5630.77;450.46;89,4568;AUD;0,635485510930351
SO43806;1;BK-R93R-48;sandra12;2011-01-22;2011-02-03;2011-01-29;Australia;Australia;Pacific;1;5599.63;447.97;89,4568;AUD;0,639018467633715
SO43810;1;BK-M82S-42;elizabeth5;2011-01-23;2011-02-04;2011-01-30;Australia;Australia;Pacific;1;5355.66;428.45;84,9998;AUD;0,634840020314881
SO43811;1;BK-M82S-44;harold3;2011-01-23;2011-02-04;2011-01-30;Australia;Australia;Pacific;1;5355.66;428.45;84,9998;AUD;0,634840020314881
SO43809;1;BK-R93R-62;fernando14;2011-01-23;2011-02-04;2011-01-30;Australia;Australia;Pacific;1;5636.49;450.92;89,4568;AUD;0,634840020314881
SO43819;1;BK-M82S-44;janet9;2011-01-24;2011-02-05;2011-01-31;Australia;Australia;Pacific;1;5361.10;428.89;84,9998;AUD;0,634195839675292
SO43815;1;BK-R93R-44;jordyn15;2011-01-24;2011-02-05;2011-01-31;Australia;Australia;Pacific;1;5642.22;451.38;89,4568;AUD;0,634195839675292
SO43816;1;BK-R93R-56;dawn28;2011-01-24;2011-02-05;2011-01-31;Australia;Australia;Pacific;1;5642.22;451.38;89,4568;AUD;0,634195839675292
